generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,cost,samples
gemma2_9b,71,rank_jensen_bound,2e-08,0.6122529243478918,0.613544809837562,951,-0.21056090263598137,-0.3520437414340862,0.6307645953978918,0.01851167105,728.24
gemma2_9b,71,rank_jensen_bound,1e-07,0.556596334839845,0.5443691531680896,356,2.2461194945739167,1.8025942050622952,0.586000312589845,0.02940397775,337.1025
gemma2_9b,71,rank_jensen_bound,2e-07,0.5230443475582709,0.5043549212672535,235,3.705609978793896,2.7041745148412346,0.5562845955582709,0.033240248,199.3025
gemma2_9b,71,rank_jensen_bound,1e-06,0.43289013721012026,0.407524593984259,49,6.224297527142872,5.933845336250476,0.47570279721012015,0.04281266,58.1225
gemma2_9b,71,rank_jensen_bound,2e-06,0.38147646580119116,0.3589493090365462,28,6.275860183464336,5.460137285369016,0.42883500080119114,0.047358535,33.275
gemma2_9b,71,rank_jensen_bound,1e-05,0.2633484559414094,0.24384346329543266,7,7.998981142399996,4.2548263790672705,0.3372957059414093,0.07394725,8.4225
gemma2_9b,71,rank_empirical_bound,2e-08,0.6115214500057955,0.613544809837562,951,-0.3297819163855665,-0.47109572199115857,0.6292290919557955,0.017707641950000002,708.4875
gemma2_9b,71,rank_empirical_bound,1e-07,0.554499455719412,0.5443691531680896,356,1.8609251630748223,1.419070777341661,0.5823872004694121,0.02788774475,322.855
gemma2_9b,71,rank_empirical_bound,2e-07,0.5231353374696645,0.5043549212672535,235,3.7236508281158245,2.7220411523118035,0.5545532289696644,0.031417891499999996,189.035
gemma2_9b,71,rank_empirical_bound,1e-06,0.42864172893731217,0.407524593984259,49,5.181806267591507,4.894204590916401,0.4692142389373122,0.04057251,54.965
gemma2_9b,71,rank_empirical_bound,2e-06,0.3808755098553902,0.3589493090365462,28,6.108439344178149,5.294001488725518,0.4257831048553903,0.044907595,31.0875
gemma2_9b,71,rank_empirical_bound,1e-05,0.26312977695864487,0.24384346329543266,7,7.909301074782369,4.168255378301892,0.3360203519586448,0.072890575,8.065
gemma2_9b,71,shape_jensen_bound,2e-08,0.5935395757206977,0.613544809837562,951,-3.260598703811174,-3.397757157078554,0.6083916782706978,0.01485210255,532.7525
gemma2_9b,71,shape_jensen_bound,1e-07,0.5434697902322767,0.5443691531680896,356,-0.16521195783759585,-0.5982773249010498,0.5791065142322767,0.035636723999999995,339.1375
gemma2_9b,71,shape_jensen_bound,2e-07,0.5132364277968776,0.5043549212672535,235,1.7609635903439367,0.7783066462672924,0.5621493197968777,0.048912892,255.945
gemma2_9b,71,shape_jensen_bound,1e-06,0.41629185988354545,0.407524593984259,49,2.15134645336892,1.8720310512368628,0.49029023238354547,0.07399837249999999,91.7925
gemma2_9b,71,shape_jensen_bound,2e-06,0.3673844478990194,0.3589493090365462,28,2.3499526674431888,1.5643631660674497,0.45024146289901945,0.08285701499999999,57.3425
gemma2_9b,71,shape_jensen_bound,1e-05,0.2583014613372638,0.24384346329543266,7,5.929212883723805,2.2568137295898305,0.35416703633726376,0.09586557500000002,11.9075
gemma2_9b,71,shape_empirical_bound,2e-08,0.5933033918119529,0.613544809837562,951,-3.2990936767875296,-3.4361975513529406,0.607629500011953,0.014326108200000002,520.72
gemma2_9b,71,shape_empirical_bound,1e-07,0.5422844843586805,0.5443691531680896,356,-0.3829513111235127,-0.8150721640070487,0.5759427373586805,0.033658253,326.65
gemma2_9b,71,shape_empirical_bound,2e-07,0.5111042479012474,0.5043549212672535,235,1.3382097307656797,0.35963511847022944,0.5580788349012473,0.046974587,247.9975
gemma2_9b,71,shape_empirical_bound,1e-06,0.4159815928389537,0.407524593984259,49,2.075211896296339,1.7961046711013773,0.48696522783895374,0.07098363499999999,88.755
gemma2_9b,71,shape_empirical_bound,2e-06,0.3658029946934582,0.3589493090365462,28,1.909374244321005,1.1271664131338401,0.4459766246934583,0.08017363,55.925
gemma2_9b,71,shape_empirical_bound,1e-05,0.2596073111075029,0.24384346329543266,7,6.464740780428994,2.7737757166527564,0.35227491110750286,0.09266760000000002,10.8575
gemma2_9b,71,rank_jensen_moment,2e-08,0.6118718264836912,0.613544809837562,951,-0.2726750071137772,-0.4140697796805211,0.6298803044836913,0.018008478,713.725
gemma2_9b,71,rank_jensen_moment,1e-07,0.5548539704580118,0.5443691531680896,356,1.9260491210611694,1.4839122393030948,0.5837451269580116,0.028891156499999997,330.56
gemma2_9b,71,rank_jensen_moment,2e-07,0.5230641671254531,0.5043549212672535,235,3.709539665279838,2.7080662542247,0.5559545201254532,0.032890353000000004,195.2825
gemma2_9b,71,rank_jensen_moment,1e-06,0.43161992403416183,0.407524593984259,49,5.9126075838342,5.623007655832882,0.47481677403416184,0.043196849999999995,58.055
gemma2_9b,71,rank_jensen_moment,2e-06,0.38179274627596915,0.3589493090365462,28,6.363973035840879,5.547573825446831,0.4298929612759693,0.048100214999999995,33.325
gemma2_9b,71,rank_jensen_moment,1e-05,0.26307120720762617,0.24384346329543266,7,7.885281668960635,4.145068687490695,0.3381631822076262,0.075091975,8.56
gemma2_9b,71,rank_empirical_moment,2e-08,0.6113805661971434,0.613544809837562,951,-0.3527441852195852,-0.4940254346047068,0.6285936028471434,0.01721303665,694.1725
gemma2_9b,71,rank_empirical_moment,1e-07,0.5542429074774741,0.5443691531680896,356,1.8137975401290993,1.3721475855539549,0.581572568977474,0.027329661499999998,315.965
gemma2_9b,71,rank_empirical_moment,2e-07,0.5232446183575763,0.5043549212672535,235,3.7453182855557685,2.7434993774807213,0.5541690813575763,0.030924463,184.6125
gemma2_9b,71,rank_empirical_moment,1e-06,0.42850186643731214,0.407524593984259,49,5.147486253029285,4.859978418569691,0.4692142389373122,0.040712372499999996,54.565
gemma2_9b,71,rank_empirical_moment,2e-06,0.3807314208128424,0.3589493090365462,28,6.068297452573855,5.254167707167079,0.4261484958128424,0.045417074999999994,30.985
gemma2_9b,71,rank_empirical_moment,1e-05,0.26298084113941506,0.24384346329543266,7,7.848222620097952,4.10929441754774,0.33678066613941504,0.07379982500000001,8.145
gemma2_9b,71,shape_jensen_moment,2e-08,0.5930957681735706,0.613544809837562,951,-3.332933688968108,-3.4699895846989692,0.6077049195235706,0.01460915135,526.225
gemma2_9b,71,shape_jensen_moment,1e-07,0.542983635586278,0.5443691531680896,356,-0.2545180184711501,-0.6871959918946944,0.578304557086278,0.0353209215,336.5575
