price,metric,low,high
1e-06,correct,0.4839266685969609,0.635120588634911
1e-06,tokens,26764.444498183948,32196.847614982016
1e-06,fixed_correct,0.48953127307032773,0.647540700056204
1e-06,fixed_tokens,40684.09920149506,49037.15401759844
1e-06,profit,0.4528322959739422,0.6064888131889989
1e-06,fixed_profit,0.4434820793161868,0.6029788727223131
1e-06,token_change_percent,-35.28532398263515,-33.76477509678416
1e-06,relative_profit_percent,-1.716574747730978,4.268741332192162
1.25e-06,correct,0.48156981948671773,0.6287371214195538
1.25e-06,tokens,21255.839450368687,25493.24499031467
1.25e-06,fixed_correct,0.4840341083546068,0.6355077551942985
1.25e-06,fixed_tokens,33867.61874394177,40699.677005985424
1.25e-06,profit,0.45231980000378463,0.5993318263210131
1.25e-06,fixed_profit,0.43648015685403024,0.5895170901150585
1.25e-06,token_change_percent,-38.7871244089791,-36.174356899322134
1.25e-06,relative_profit_percent,-0.0459866804215278,5.092211706810331
1.5e-06,correct,0.4795379703254676,0.6225162087718097
1.5e-06,tokens,17786.190389057603,21360.36629996597
1.5e-06,fixed_correct,0.48052150113414827,0.6282372639054307
1.5e-06,fixed_tokens,26526.911542878013,31929.78634272362
1.5e-06,profit,0.44957640445033137,0.5945417598824658
1.5e-06,fixed_profit,0.4351434980519103,0.5860566133381521
1.5e-06,token_change_percent,-34.442840535616725,-31.797972965027604
1.5e-06,relative_profit_percent,0.2619293560448199,4.404538522730201
1.7499999999999998e-06,correct,0.4753845072506361,0.6173812938564239
1.7499999999999998e-06,tokens,14515.688626182095,17511.776673464312
1.7499999999999998e-06,fixed_correct,0.47509968400576796,0.6181699917524138
1.7499999999999998e-06,fixed_tokens,16254.657034783719,19646.628584315193
1.7499999999999998e-06,profit,0.44671771900321605,0.5900378345652779
1.7499999999999998e-06,fixed_profit,0.4430701838410117,0.5876689950960121
1.7499999999999998e-06,token_change_percent,-11.29800575406429,-10.24590127783266
1.7499999999999998e-06,relative_profit_percent,0.036930984628341657,1.1972155267172628
2e-06,correct,0.47279393504694756,0.6128965502702031
2e-06,tokens,13188.467554628867,15917.36345603127
2e-06,fixed_correct,0.47191175307015065,0.6136499421871625
2e-06,fixed_tokens,14124.73597520099,17067.271822019393
2e-06,profit,0.4425697005889794,0.5842033240262912
2e-06,fixed_profit,0.44089834365601305,0.5826855779916909
2e-06,token_change_percent,-7.225043095183885,-6.177588596536171
2e-06,relative_profit_percent,-0.012865010715928658,0.8149080682697167
