split,grid,divisor,config_id,grid_config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_n
75,exp_tail_current,100000.0,128,128,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.2,0.75,0.0,0.18383186011904765,0.17232473214285712,0.011507127976190523,6.6775835558247785,0.21180555555555555,2797.3695436507937,5.202876984126984,7
75,exp_tail_uncapped_decay,100000.0,255,3,shifted_exponential,bounded_identity,0.0,5.0,0.0,,0.5,1.0,0.19192814484126985,0.17232473214285712,0.01960341269841273,11.375855603919645,0.21875,2682.185515873016,5.068452380952381,7
75,exp_tail_current,200000.0,139,139,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.0,0.22000875992063493,0.20862418898809523,0.011384570932539695,5.456975525110051,0.24305555555555555,4609.359126984127,8.49454365079365,11
75,exp_tail_uncapped_decay,200000.0,339,87,shifted_exponential,bounded_identity,0.0,20.0,10.0,,0.75,1.0,0.22208964037698412,0.20862418898809523,0.013465451388888883,6.454405624870884,0.24206349206349206,3994.7703373015875,7.1374007936507935,11
75,exp_tail_current,300000.0,12,12,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.5,0.0,0.22396063326719573,0.22146850694444448,0.0024921263227512536,1.1252734563187374,0.24454365079365079,6174.905257936508,11.063492063492063,16
75,exp_tail_uncapped_decay,300000.0,339,87,shifted_exponential,bounded_identity,0.0,20.0,10.0,,0.75,1.0,0.22893930224867726,0.22146850694444448,0.00747079530423278,3.3732991689454224,0.2435515873015873,4383.685515873016,7.766865079365079,16
75,exp_tail_current,400000.0,3,3,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.3,0.5,0.0,0.22903397569444445,0.23423138764880955,-0.0051974119543651,-2.2189220695553162,0.24702380952380953,7195.933531746032,14.26140873015873,22
75,exp_tail_uncapped_decay,400000.0,354,102,shifted_exponential,bounded_identity,0.2,5.0,10.0,,0.75,0.5,0.23539435887896829,0.23423138764880955,0.001162971230158738,0.49650528984715625,0.2534722222222222,7231.1453373015875,13.621527777777779,22
75,exp_tail_current,500000.0,183,183,shifted_exponential,bounded_identity,0.2,20.0,0.0,1.1,0.75,0.0,0.2402822718253968,0.23737201984126982,0.002910251984126977,1.2260299196480935,0.26587301587301587,12795.372023809523,24.735119047619047,29
75,exp_tail_uncapped_decay,500000.0,323,71,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.24993786408730156,0.23737201984126982,0.012565844246031743,5.293734389771169,0.2787698412698413,14415.988591269841,26.83730158730159,29
75,exp_tail_current,600000.0,42,42,shifted_exponential,bounded_identity,0.2,5.0,0.0,1.0,0.5,0.0,0.24246547619047618,0.23590348792989418,0.006561988260581991,2.781641050823328,0.26587301587301587,14044.52380952381,26.527281746031747,37
75,exp_tail_uncapped_decay,600000.0,319,67,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,,0.5,1.0,0.254283388723545,0.23590348792989418,0.018379900793650816,7.791279796216051,0.28075396825396826,15882.347718253968,31.058035714285715,37
75,exp_tail_current,700000.0,89,89,shifted_exponential,bounded_identity,0.8,5.0,0.0,2.0,0.5,0.0,0.23149415745464852,0.24054905187074832,-0.009054894416099801,-3.7642611125173637,0.283234126984127,36217.97867063492,67.9047619047619,45
75,exp_tail_uncapped_decay,700000.0,323,71,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.25815549815759636,0.24054905187074832,0.017606446286848043,7.319274863036387,0.28273809523809523,17207.817956349205,32.23561507936508,45
