partition,price,method,prompts,quality,cost,samples,profit
train,2e-08,fixed_1,50,0.17484138548899503,4.097050000000002e-05,1.0,0.17480041498899498
train,2e-08,fixed_2,50,0.22423727316558734,8.150305e-05,2.0,0.2241557701155873
train,2e-08,fixed_3,50,0.2568269808291221,0.00012164775000000002,3.0,0.256705333079122
train,2e-08,fixed_4,50,0.28070784349754146,0.0001633676,4.0,0.28054447589754156
train,2e-08,fixed_5,50,0.3009522158794918,0.00020532925,5.0,0.3007468866294917
train,2e-08,fixed_6,50,0.31501556130330494,0.00024634780000000006,6.0,0.31476921350330495
train,2e-08,fixed_7,50,0.32921859408519294,0.00028764605000000003,7.0,0.3289309480351929
train,2e-08,fixed_8,50,0.3376297125747653,0.0003288855,8.0,0.3373008270747653
train,2e-08,fixed_9,50,0.3476564051023728,0.0003711075999999999,9.0,0.34728529750237286
train,2e-08,fixed_10,50,0.35583094481954197,0.00041196995,10.0,0.3554189748695421
train,2e-08,fixed_11,50,0.3653533152892266,0.00045235064999999997,11.0,0.36490096463922667
train,2e-08,fixed_12,50,0.36916129956616345,0.0004930265499999999,12.0,0.36866827301616356
train,2e-08,fixed_13,50,0.3765060086395123,0.00053460725,13.0,0.37597140138951235
train,2e-08,fixed_14,50,0.3814815161165631,0.0005748774499999999,14.0,0.3809066386665632
train,2e-08,fixed_15,50,0.38764898220693367,0.0006160433,15.0,0.3870329389069338
train,2e-08,fixed_16,50,0.3937480590455526,0.00065699515,16.0,0.39309106389555254
train,2e-08,fixed_17,50,0.39808917818523254,0.0006989142499999998,17.0,0.39739026393523263
train,2e-08,fixed_18,50,0.40055568936439157,0.0007395885500000001,18.0,0.3998161008143917
train,2e-08,fixed_19,50,0.40684113278620493,0.0007820622499999998,19.0,0.40605907053620505
train,2e-08,fixed_20,50,0.4112213140377281,0.0008225849000000002,20.0,0.4103987291377282
train,2e-08,fixed_21,50,0.41579818581553313,0.0008643080500000002,21.0,0.41493387776553325
train,2e-08,fixed_22,50,0.4198757378485315,0.0009046054499999999,22.0,0.41897113239853156
