partition,price,method,prompts,quality,cost,samples,profit
train,2e-08,fixed_1,50,0.1469834412536883,4.0393349999999995e-05,1.0,0.1469430479036884
train,2e-08,fixed_2,50,0.2015360511089507,8.073910000000001e-05,2.0,0.20145531200895073
train,2e-08,fixed_3,50,0.24133521082453513,0.00012052614999999997,3.0,0.24121468467453513
train,2e-08,fixed_4,50,0.26860831122038265,0.00016151655,4.0,0.26844679467038257
train,2e-08,fixed_5,50,0.288891345591492,0.00020177249999999997,5.0,0.288689573091492
train,2e-08,fixed_6,50,0.30646026447169167,0.00024163435,6.0,0.3062186301216918
train,2e-08,fixed_7,50,0.318655141244192,0.0002819373,7.0,0.31837320394419194
train,2e-08,fixed_8,50,0.3279297465321937,0.000321602,8.0,0.3276081445321936
train,2e-08,fixed_9,50,0.33428000425129534,0.0003612297999999999,9.0,0.33391877445129514
train,2e-08,fixed_10,50,0.34371640256606034,0.00040171999999999994,10.0,0.3433146825660603
train,2e-08,fixed_11,50,0.3500019278967242,0.0004420570499999999,11.0,0.34955987084672413
train,2e-08,fixed_12,50,0.35794415036982513,0.0004823070999999999,12.0,0.35746184326982516
train,2e-08,fixed_13,50,0.36145209411734003,0.0005230324000000001,13.0,0.3609290617173401
train,2e-08,fixed_14,50,0.3650359355241601,0.0005636889999999998,14.0,0.36447224652416005
train,2e-08,fixed_15,50,0.3699134744239374,0.00060385645,15.0,0.36930961797393747
train,2e-08,fixed_16,50,0.37690563267164867,0.0006433881000000002,16.0,0.37626224457164875
train,2e-08,fixed_17,50,0.38223171044262627,0.0006832297500000002,17.0,0.38154848069262626
train,2e-08,fixed_18,50,0.38844685284500785,0.0007234315999999998,18.0,0.38772342124500775
train,2e-08,fixed_19,50,0.39240107930301676,0.0007645866499999999,19.0,0.3916364926530169
train,2e-08,fixed_20,50,0.395062801508937,0.0008045346499999999,20.0,0.39425826685893695
train,2e-08,fixed_21,50,0.3999322204039491,0.0008443745499999998,21.0,0.3990878458539491
train,2e-08,fixed_22,50,0.40322392503849086,0.00088372435,22.0,0.4023402006884909
train,2e-08,fixed_23,50,0.4085280057789433,0.0009238049000000001,23.0,0.40760420087894345
train,2e-08,fixed_24,50,0.4130454532137833,0.0009649417500000001,24.0,0.4120805114637832
train,2e-08,fixed_25,50,0.41764695806067825,0.0010058779499999997,25.0,0.41664108011067846
train,2e-08,fixed_26,50,0.4211496165746773,0.0010460948999999999,26.0,0.42010352167467746
train,2e-08,fixed_27,50,0.42536674522061063,0.0010876955999999996,27.0,0.42427904962061064
train,2e-08,fixed_28,50,0.42797117085331765,0.0011277672999999999,28.0,0.42684340355331785
train,2e-08,fixed_29,50,0.431682199116405,0.0011690853,29.0,0.4305131138164051
train,2e-08,fixed_30,50,0.434995643732191,0.0012095225,30.0,0.433786121232191
train,2e-08,fixed_31,50,0.43687420572290864,0.0012499550500000003,31.0,0.4356242506729084
train,2e-08,fixed_32,50,0.4402712209126199,0.0012902067000000001,32.0,0.43898101421261976
train,2e-08,fixed_33,50,0.44146409672473047,0.00133053945,33.0,0.44013355727473047
train,2e-08,fixed_34,50,0.4431490359293941,0.0013704153000000006,34.0,0.4417786206293939
train,2e-08,fixed_35,50,0.446374388835219,0.0014116012499999996,35.0,0.44496278758521896
train,2e-08,fixed_36,50,0.4484142137469401,0.0014524590999999997,36.0,0.4469617546469401
train,2e-08,fixed_37,50,0.4555050741073252,0.00149261535,37.0,0.45401245875732527
train,2e-08,fixed_38,50,0.45754532655244773,0.0015322498500000006,38.0,0.45601307670244784
