reward_model,model,price_per_million,relative_utility_improvement_percent,ci_low,ci_high,confidence,bootstrap_repetitions
fsfairx_llama3_rm,gemma3_4b,0.1,-1.2374380902649524,-2.228859833589946,-0.36035382529751786,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.2,-0.38491018543502004,-1.4892761274414807,0.8185548368203425,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.5,-0.49994375224631327,-1.8702757571286253,1.0750915341975922,0.95,1000
fsfairx_llama3_rm,gemma3_4b,1.0,1.280892783074251,-0.5808526356732797,3.34930289723282,0.95,1000
fsfairx_llama3_rm,gemma3_4b,2.0,-0.28867900841157124,-2.8003019558279068,2.2636276787668383,0.95,1000
fsfairx_llama3_rm,gemma3_4b,5.0,-0.5475336084707145,-3.290378525203389,2.4699216472428627,0.95,1000
fsfairx_llama3_rm,gemma3_4b,10.0,-0.14676814893411586,-3.4377345732267655,3.322897109934165,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.1,-0.6096221696386891,-2.1134653072785405,0.7611352756485471,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.2,-0.03559595598520578,-1.5559378139148585,1.5862566705093142,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.5,0.6352436796046549,-1.2785734988529005,2.743168713833881,0.95,1000
fsfairx_llama3_rm,granite42_8b,1.0,-0.5012305027962711,-2.8268364792082394,1.996223012524048,0.95,1000
fsfairx_llama3_rm,granite42_8b,2.0,-0.08959824196949011,-2.782051395932455,2.8171215852723326,0.95,1000
fsfairx_llama3_rm,granite42_8b,5.0,0.2005100040429178,-3.4218551521705773,3.783854015464193,0.95,1000
fsfairx_llama3_rm,granite42_8b,10.0,-2.027164476017292,-5.843414886661354,1.9481215150676243,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.1,0.39317530123770056,-0.48620767611487314,1.193611065981208,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.2,0.05828908669474968,-1.1958626487561652,1.3717835106984941,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.5,-0.5238527861440933,-2.237602212864392,1.1541680331867767,0.95,1000
fsfairx_llama3_rm,ministral3_8b,1.0,1.886640336360817,-0.1094575039294547,4.023624535955659,0.95,1000
fsfairx_llama3_rm,ministral3_8b,2.0,2.903236646851071,0.3384284954944279,5.64389688211092,0.95,1000
fsfairx_llama3_rm,ministral3_8b,5.0,2.5995245052921505,-1.0155348444182741,6.708639657978611,0.95,1000
fsfairx_llama3_rm,ministral3_8b,10.0,0.37863369048955786,-3.2442578252218968,4.193658687937661,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.1,0.7052839081418576,-0.19268636431557848,1.7003585827859562,0.95,1000
