generator,reward_model,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,0.1,current_beta0,515.8,0.5582557592638303,0.5923206270860103,311292.8,507.90749999999997,0.5611913470860104,0.5251486284643802,1.0
gemma3_4b,fsfairx_llama3_rm,0.1,current_beta1,515.8,0.5582557592638303,0.592556688374067,312494.45499999996,509.46049999999997,0.5613072428740671,0.5459918016537579,0.994754874286959
gemma3_4b,fsfairx_llama3_rm,0.1,current_beta2,515.8,0.5582557592638303,0.5926801833411648,313649.38499999995,510.96049999999997,0.5613152448411647,0.5474587371029411,0.9896175074525917
gemma3_4b,fsfairx_llama3_rm,0.1,top2_factor4_beta0,515.8,0.5582557592638303,0.6245276580812811,740663.5075,927.9625,0.5504613073312811,-1.3979530869779162,1.0
gemma3_4b,fsfairx_llama3_rm,0.1,top2_factor4_beta2,515.8,0.5582557592638303,0.6245920240713713,741229.4025000001,928.4724999999999,0.5504690838213713,-1.3965752479604,0.9923579209087168
gemma3_4b,fsfairx_llama3_rm,0.1,top2_factor1_beta2,515.8,0.5582557592638303,0.5979450112268653,409823.20200000005,616.7370000000001,0.5569626910268654,-0.23112212812857735,0.9906042049687628
gemma3_4b,fsfairx_llama3_rm,0.1,top2_factor0p25_beta2,515.8,0.5582557592638303,0.5510438481729536,141586.5375,271.798,0.5368851944229536,-3.828357754730394,0.9849542373277593
gemma3_4b,fsfairx_llama3_rm,0.2,current_beta0,271.4,0.5288919097905573,0.5702306419517599,178213.80399999997,332.2015,0.5345878811517599,1.0761541573952091,1.0
gemma3_4b,fsfairx_llama3_rm,0.2,current_beta1,271.4,0.5288919097905573,0.570633944405859,179175.3185,333.80649999999997,0.5347988807058591,1.1161656686821133,0.9932960971667251
gemma3_4b,fsfairx_llama3_rm,0.2,current_beta2,271.4,0.5288919097905573,0.5708003070370706,180153.66499999998,335.40549999999996,0.5347695740370707,1.1106237567465658,0.9867700315265984
gemma3_4b,fsfairx_llama3_rm,0.2,top2_factor4_beta0,271.4,0.5288919097905573,0.6153403827332067,604600.2150000001,806.0235,0.49442033973320665,-6.518858011866813,1.0
gemma3_4b,fsfairx_llama3_rm,0.2,top2_factor4_beta2,271.4,0.5288919097905573,0.6153824005425227,606265.737,807.4965,0.49412925314252265,-6.5739313192741005,0.9918459532712971
gemma3_4b,fsfairx_llama3_rm,0.2,top2_factor1_beta2,271.4,0.5288919097905573,0.5754268537214673,244559.39849999998,420.1334999999999,0.5265149740214674,-0.44943062700245073,0.9883028000685432
gemma3_4b,fsfairx_llama3_rm,0.2,top2_factor0p25_beta2,271.4,0.5288919097905573,0.5226366062798878,79547.95550000001,169.79199999999997,0.5067270151798879,-4.190606958486493,0.9801768460031133
