model,reward_model,split_seed,price_per_million,profit,fixed_profit,profit_improvement_percent,quality,output_tokens,samples,fixed_n,fixed_quality,fixed_output_tokens,matched_fixed_tokens,matched_cost_saving_percent
gemma3_4b,armorm_llama3_8b,71,0.02,0.4989038567559294,0.49910791082361156,-0.040883757451454415,0.5000650783059294,58061.0775,137.2825,31,0.49961498397361154,25353.6575,60464.44593079528,3.9748457027888096
gemma3_4b,armorm_llama3_8b,71,0.1,0.4978992645517038,0.4980001304056231,-0.020254182230257354,0.4990502230517038,11509.585,28.1375,10,0.4988177946556231,8176.6425,11239.787103973,-2.4003826187386723
gemma3_4b,armorm_llama3_8b,71,0.2,0.4973877476361769,0.497419956339965,-0.00647515311309779,0.4986377876361769,6250.2,14.59,6,0.498402837839965,4914.4075,6398.723841132052,2.3211478541598662
gemma3_4b,armorm_llama3_8b,71,1.0,0.494672980040954,0.4958233440565325,-0.2320108622088871,0.498132390040954,3459.41,5.3025,2,0.4974631990565325,1639.855,3770.8219814556664,8.258464148855172
gemma3_4b,armorm_llama3_8b,71,2.0,0.49142170496494497,0.49491539707419424,-0.7059170375185396,0.49807528496494496,3326.79,4.435,1,0.49655268707419425,818.645,3539.042136977164,5.997445884000041
gemma3_4b,armorm_llama3_8b,71,10.0,0.4652718716585847,0.48836623707419424,-4.728902954874208,0.4980095216585847,3273.765,4.0125,1,0.49655268707419425,818.645,3272.12,-0.05027321736366108
gemma3_4b,armorm_llama3_8b,72,0.02,0.4990575310335072,0.49912796749483523,-0.014111904344203518,0.5001322168335072,53734.29,171.2625,31,0.49960094594483523,23648.9225,65024.51868587882,17.36303307436966
gemma3_4b,armorm_llama3_8b,72,0.1,0.4980361098992492,0.49804074989446684,-0.0009316497131293391,0.4991109148992492,10748.05,36.3875,10,0.49880389089446686,7631.41,11435.158292952148,6.008734425439788
gemma3_4b,armorm_llama3_8b,72,0.2,0.4975617259728638,0.4974446636711359,0.023532728417268185,0.4987692934728638,6037.8375,18.9275,6,0.4983592761711359,4573.0625,7350.497046254934,17.858105893991638
gemma3_4b,armorm_llama3_8b,72,1.0,0.49494195985994094,0.49592841779720165,-0.1989113553206581,0.4982347873599409,3292.8275,6.1175,2,0.49744898029720164,1520.5625,3961.137524913725,16.871669330094296
gemma3_4b,armorm_llama3_8b,72,2.0,0.49189791524941173,0.4950891826371942,-0.6445843495879933,0.49814983524941175,3125.96,4.8025,1,0.4966044726371942,757.645,3553.5744569020812,12.033361396762876
gemma3_4b,armorm_llama3_8b,72,10.0,0.467551696046668,0.4890280226371942,-4.391635161255224,0.498045621046668,3049.3925,4.0425,1,0.4966044726371942,757.645,3060.5649546400477,0.36504549995286517
gemma3_4b,armorm_llama3_8b,73,0.02,0.49900045622845346,0.49905576686230163,-0.011083056748532162,0.5001068109784534,55317.7375,140.3925,30,0.4995407551623016,24249.415,68850.64666961551,19.655456882713228
