split,utility_divisor,reservation_divisor,reservation_divisor_id,config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,profile_rank,profile_accuracy,profile_chars_geomean,profile_utility,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_accuracy,fixed_chars,fixed_n
75,100000.0,70000.0,3,106,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,0.5,11,0.28869047619047616,4846.208684812329,0.24022838934235288,0.20049148313492063,0.17232473214285712,0.028166750992063505,16.345158725512068,0.23958333333333334,3909.18501984127,7.311507936507937,0.20982142857142858,3749.6696428571427,7
75,200000.0,70000.0,3,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,4,0.300595238095238,6300.338201284428,0.2690935470888159,0.22175991319444446,0.20862418898809523,0.01313572420634923,6.296357229745204,0.2490079365079365,5449.6046626984125,9.922619047619047,0.23809523809523808,5894.209821428572,11
75,300000.0,400000.0,8,187,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,7,0.31309523809523815,9635.918068430821,0.28097551120046876,0.23083130125661377,0.22146850694444448,0.009362794312169298,4.2275962579717765,0.25992063492063494,8726.80009920635,16.60763888888889,0.25,8559.447916666666,16
75,400000.0,400000.0,8,187,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,4,0.31309523809523815,9635.918068430821,0.2890054429241611,0.23810363467261908,0.23423138764880955,0.003872247023809533,1.6531717045604981,0.25992063492063494,8726.80009920635,16.60763888888889,0.2638888888888889,11863.000496031746,22
75,500000.0,400000.0,8,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,6,0.3255952380952381,16292.13937127223,0.29301095935269367,0.24955199900793648,0.23737201984126982,0.01217997916666666,5.131177286527446,0.27529761904761907,12872.81001984127,23.75595238095238,0.26884920634920634,15738.593253968254,29
75,600000.0,400000.0,8,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,5,0.3255952380952381,16292.13937127223,0.29844167247645104,0.25384293568121696,0.23590348792989418,0.01793944775132278,7.604570796619178,0.27529761904761907,12872.81001984127,23.75595238095238,0.2693452380952381,20065.05009920635,37
75,700000.0,1000000.0,11,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,1,0.3458333333333333,27971.66393490358,0.3058738134263282,0.25524860615079364,0.24054905187074832,0.014699554280045324,6.1108344288730265,0.28521825396825395,20978.753472222223,39.62400793650794,0.27529761904761907,24323.997023809523,45
75,800000.0,1000000.0,11,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,1,0.3458333333333333,27971.66393490358,0.3108687534147039,0.2589948121279762,0.24420851066468255,0.014786301463293655,6.054785487634543,0.28521825396825395,20978.753472222223,39.62400793650794,0.279265873015873,28045.88988095238,52
75,900000.0,1000000.0,11,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,1,0.3458333333333333,27971.66393490358,0.314753706738996,0.26190852788800706,0.24382503527336863,0.01808349261463843,7.416585665357871,0.28521825396825395,20978.753472222223,39.62400793650794,0.27976190476190477,32343.18253968254,60
75,1000000.0,1000000.0,11,143,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,1,0.3458333333333333,27971.66393490358,0.31786166939842975,0.26423950049603173,0.24560710416666665,0.018632396329365086,7.586261151762662,0.28521825396825395,20978.753472222223,39.62400793650794,0.28174603174603174,36138.92757936508,67
