generator,split_seed,method,price,selected,fixed_n,profit,fixed_profit,relative_percent,quality,cost,samples,delta_test_oracle
gemma2_9b,71,spacing,2e-08,49,951,0.6109440694492284,0.613544809837562,-0.42388760309489576,0.6398094055992284,0.028865336150000004,949.9675,-0.003471867751953739
gemma2_9b,71,spacing,1e-07,218,356,0.5550327089790146,0.5443691531680896,1.9588831859530897,0.6063900032290146,0.05135729425,515.5875,0.008291892415258073
gemma2_9b,71,spacing,2e-07,466,235,0.5212883683971663,0.5043549212672535,3.3574465948236396,0.5728440988971663,0.051555730499999994,306.1275,0.012015644061420305
gemma2_9b,71,spacing,1e-06,226,49,0.4288119255670293,0.407524593984259,5.223569791125916,0.49754624306702927,0.0687343175,108.2,0.020169969980446234
gemma2_9b,71,spacing,2e-06,376,28,0.383359205926636,0.3589493090365462,6.8003743914727925,0.451421105926636,0.0680619,54.9275,0.02163346232273955
gemma2_9b,71,spacing,1e-05,334,7,0.25826478496374156,0.24384346329543266,5.914171933670619,0.34312495996374165,0.08486017500000001,9.1125,0.005664051656793567
gemma2_9b,71,direct_gain,2e-08,502,951,0.6162760145270966,0.613544809837562,0.445151624745661,0.6401377477270965,0.0238617332,860.0725,0.001860077325914422
gemma2_9b,71,direct_gain,1e-07,510,356,0.5680248618820094,0.5443691531680896,4.345527033677342,0.6098524481320095,0.04182758625,439.02,0.021284045318252898
gemma2_9b,71,direct_gain,2e-07,512,235,0.5337197597005104,0.5043549212672535,5.822256747187921,0.5907165837005105,0.056996823999999995,333.795,0.024447035364764447
gemma2_9b,71,direct_gain,1e-06,518,49,0.43918504347033793,0.407524593984259,7.768966573659563,0.516486503470338,0.07730146,116.4475,0.03054308788375487
gemma2_9b,71,direct_gain,2e-06,521,28,0.3924631177841848,0.3589493090365462,9.33664110890555,0.4661106427841849,0.07364752499999999,60.8375,0.030737374180288324
gemma2_9b,71,direct_gain,1e-05,527,7,0.27130069031087556,0.24384346329543266,11.26018579475991,0.36259671531087556,0.09129602500000002,15.065,0.01869995700392757
gemma2_9b,71,log_gain,2e-08,539,951,0.5926656107199758,0.613544809837562,-3.4030438825020806,0.6013301693699759,0.00866455865,347.725,-0.02175032648120634
gemma2_9b,71,log_gain,1e-07,539,356,0.5580073761199759,0.5443691531680896,2.505326187664241,0.6013301693699759,0.04332279325,347.725,0.011266559556219358
gemma2_9b,71,log_gain,2e-07,550,235,0.5225210906122061,0.5043549212672535,3.601862216255947,0.575915835112206,0.053394744499999994,232.9375,0.013248366276460088
