profile_weight,validation_weight,risk_penalty,heldout_cells,mean_heldout_utility_gap,mean_heldout_relative_gain_pct,positive_heldout_cells
0.0,1.0,0.0,50,0.011009822055933488,4.0241739118589495,43
0.0,1.0,0.1,50,0.01114688908399471,4.069444189485843,43
0.0,1.0,0.25,50,0.010626233974867727,3.9080125314351517,42
0.0,1.0,0.5,50,0.01008221051847128,3.7458264969063246,42
0.1,0.9,0.0,50,0.011311177529289498,4.101957901947353,44
0.1,0.9,0.1,50,0.011232473399470904,4.096365774386966,43
0.1,0.9,0.25,50,0.010799969553571431,3.9565301017245953,42
0.1,0.9,0.5,50,0.010596596199570105,3.909120333577261,42
0.25,0.75,0.0,50,0.011676278437027591,4.209118052695487,44
0.25,0.75,0.1,50,0.011534801219765687,4.187251502011544,44
0.25,0.75,0.25,50,0.011553517393707486,4.202679754121038,44
0.25,0.75,0.5,50,0.011115538694727891,4.071045420001013,43
0.5,0.5,0.0,50,0.012297673064295167,4.389434527886003,44
0.5,0.5,0.1,50,0.012755147350009453,4.553196780141332,44
0.5,0.5,0.25,50,0.012282121915154955,4.431263921897153,44
0.5,0.5,0.5,50,0.01075403303287982,3.930718381519603,41
0.75,0.25,0.0,50,0.01148852313810941,4.087403228948973,43
0.75,0.25,0.1,50,0.010689060535596177,3.834972234587305,42
0.75,0.25,0.25,50,0.010853181421957667,3.948157731363927,42
0.75,0.25,0.5,50,0.010821085860260768,3.9368413870534997,42
1.0,0.0,0.0,50,0.010192125538903059,3.6656551824236856,40
1.0,0.0,0.1,50,0.010178366506164962,3.658492470303615,40
1.0,0.0,0.25,50,0.010110649897132458,3.620698093934889,41
1.0,0.0,0.5,50,0.010287408240740743,3.7125728257713195,38
