generator,split_seed,price,method,id,selected_policy,profit,fixed_profit,quality,cost,samples
gemma2_9b,41,2e-08,spacing,48,spacing_w4_a4_n5,0.6404316804429339,0.6529786548769336,0.6406743329429339,0.0002426525,452.875
gemma2_9b,41,2e-08,spacing,95,spacing_w4_a4_n5,0.6142910653732874,0.608657221085815,0.6222067328732873,0.0079156675,512.0
gemma2_9b,41,2e-08,spacing,77,spacing_w4_a4_n5,0.57277133601636,0.5729429135163601,0.5907752385163602,0.018003902500000002,512.0
gemma2_9b,41,2e-08,spacing,3,spacing_w4_a4_n5,0.5807462901563315,0.5809163751563313,0.5980624901563315,0.017316200000000004,512.0
gemma2_9b,41,2e-08,spacing,34,spacing_w4_a4_n5,0.6404922645170219,0.6407234945170219,0.663689317017022,0.0231970525,512.0
gemma2_9b,41,2e-08,spacing,64,spacing_w4_a4_n5,0.552257519732036,0.552304004732036,0.5573033897320359,0.00504587,512.0
gemma2_9b,41,2e-08,spacing,25,spacing_w4_a4_n5,0.6190411663530948,0.6190739538530947,0.6222366288530947,0.0031954625,512.0
gemma2_9b,41,2e-08,spacing,40,spacing_w4_a4_n5,0.5562514496560877,0.5563281896560877,0.5640101021560877,0.0077586525,512.0
gemma2_9b,41,2e-08,spacing,4,spacing_w4_a4_n5,0.6066087093234616,0.5975261243884312,0.6217426943234616,0.015133984999999999,512.0
gemma2_9b,41,2e-08,spacing,1,spacing_w4_a4_n5,0.584713910675618,0.5848016331756181,0.5938364856756181,0.009122575,512.0
gemma2_9b,41,2e-08,spacing,75,spacing_w4_a4_n5,0.5329466457241393,0.5329527532241393,0.5335698382241392,0.0006231925,512.0
gemma2_9b,41,2e-08,spacing,96,spacing_w4_a4_n5,0.5989320835227332,0.5992506335227333,0.6311995035227332,0.03226742,512.0
gemma2_9b,41,2e-08,spacing,10,spacing_w4_a4_n5,0.5887948355706684,0.5888028505706683,0.5896384155706683,0.00084358,512.0
gemma2_9b,41,2e-08,spacing,30,spacing_w4_a4_n5,0.5614974362620052,0.5617700837620052,0.5888737912620053,0.027376354999999998,512.0
gemma2_9b,41,2e-08,spacing,5,spacing_w4_a4_n5,0.5450628167123918,0.5450902467123917,0.5479393942123918,0.0028765775,512.0
gemma2_9b,41,2e-08,spacing,38,spacing_w4_a4_n5,0.5774794500699407,0.5698700217474016,0.5850809825699407,0.0076015325,512.0
gemma2_9b,41,2e-08,spacing,81,spacing_w4_a4_n5,0.5684733867520068,0.5688251467520067,0.6038921942520067,0.035418807499999996,512.0
gemma2_9b,41,2e-08,spacing,86,spacing_w4_a4_n5,0.5521763946391666,0.5523876471391665,0.5735023346391666,0.02132594,512.0
gemma2_9b,41,2e-08,spacing,54,spacing_w4_a4_n5,0.6277853800721791,0.6278485900721792,0.6344697975721791,0.0066844175,512.0
gemma2_9b,41,2e-08,spacing,44,spacing_w4_a4_n5,0.5589578969626895,0.5459049750278345,0.5901741094626894,0.031216212500000003,512.0
gemma2_9b,41,2e-08,spacing,45,spacing_w4_a4_n5,0.6244791782903887,0.6245012182903886,0.6267107532903886,0.0022315750000000004,512.0
gemma2_9b,41,2e-08,spacing,92,spacing_w4_a4_n5,0.603151424154174,0.6032300941541742,0.6113737966541741,0.0082223725,512.0
gemma2_9b,41,2e-08,spacing,88,spacing_w4_a4_n5,0.5608382697502868,0.5610066672502868,0.5782707472502868,0.0174324775,512.0
gemma2_9b,41,2e-08,spacing,15,spacing_w4_a4_n5,0.6865470946853747,0.6655851432223645,0.6916140246853746,0.00506693,512.0
gemma2_9b,41,2e-08,spacing,32,spacing_w4_a4_n5,0.5694041450705357,0.5695987025705357,0.5888553375705358,0.0194511925,512.0
gemma2_9b,41,2e-08,spacing,87,spacing_w4_a4_n5,0.5155209670571955,0.5139027109445475,0.5467155445571955,0.0311945775,512.0
gemma2_9b,41,2e-08,spacing,11,spacing_w4_a4_n5,0.6723944464162541,0.6725078064162541,0.6858415189162541,0.0134470725,512.0
gemma2_9b,41,2e-08,spacing,74,spacing_w4_a4_n5,0.5066591246401573,0.5066890421401573,0.5097638771401573,0.0031047525000000003,512.0
gemma2_9b,41,2e-08,spacing,90,spacing_w4_a4_n5,0.6969942706030319,0.6970389156030318,0.7017243781030319,0.0047301075,512.0
gemma2_9b,41,2e-08,spacing,82,spacing_w4_a4_n5,0.6737288842185009,0.6739148992185008,0.6919492067185008,0.018220322500000004,512.0
gemma2_9b,41,2e-08,spacing,80,spacing_w4_a4_n5,0.5652305080796846,0.5652825530796846,0.5702311355796845,0.0050006275,512.0
gemma2_9b,41,2e-08,spacing,91,spacing_w4_a4_n5,0.6073760916684507,0.6073851041684506,0.6083087466684507,0.000932655,512.0
gemma2_9b,41,2e-08,spacing,21,spacing_w4_a4_n5,0.6536919170127432,0.6539749620127432,0.6827969695127432,0.0291050525,512.0
